f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
17,1,3,4,0.56,1,0,8,537,475,0.88,6,8,1,0.8395061728395061,0.7401433691756273,1.745668617197283,0.10214257284919018,0.12165247958453745,0.1710213420317022,0.0909090909090909,0.08878994477982215,-0.22515396887321823,7.666666666666668,16.200000000000003,0.3222222222222222,8.79120879120879,7,0,1,1,0.44,2,0,10,403,350,0.87,5,9,1,0.9032258064516129,0.8490028490028491,1.927862181968477,0.10500857515632536,0.1079594792925135,0.11427543311950657,0.09090909090909093,0.09211891493918449,-0.06703969351670962,8.46955266955267,18.6,0.18888888888888888,9.648018648018649,1
7,0,1,1,0.44,2,0,10,403,350,0.87,5,9,1,0.9032258064516129,0.8490028490028491,1.927862181968477,0.10500857515632536,0.1079594792925135,0.11427543311950657,0.09090909090909093,0.09211891493918449,-0.06703969351670962,8.46955266955267,18.6,0.18888888888888888,9.648018648018649,17,1,3,4,0.56,1,0,8,537,475,0.88,6,8,1,0.8395061728395061,0.7401433691756273,1.745668617197283,0.10214257284919018,0.12165247958453745,0.1710213420317022,0.0909090909090909,0.08878994477982215,-0.22515396887321823,7.666666666666668,16.200000000000003,0.3222222222222222,8.79120879120879,0
16,1,3,4,0.69,1,0,13,679,577,0.85,6,8,3,0.9333333333333333,0.8253731343283582,1.7936448351042529,0.10835011559281096,0.12657327052471157,0.13933905713456643,0.09090909090909091,0.09498506584539967,-0.14638829506090395,8.315656565656566,18.0,0.2222222222222222,9.39044289044289,4,0,2,4,0.31,4,0,5,268,172,0.64,3,6,5,0.7246376811594203,0.6398963730569949,1.7351264569629226,0.10908605938749519,0.10560269189318634,0.16124315111295703,0.09090909090909091,0.09042432314754292,-0.1939974087090456,6.262012987012986,13.8,0.4666666666666667,8.089359170241522,0
4,0,2,4,0.31,4,0,5,268,172,0.64,3,6,5,0.7246376811594203,0.6398963730569949,1.7351264569629226,0.10908605938749519,0.10560269189318634,0.16124315111295703,0.09090909090909091,0.09042432314754292,-0.1939974087090456,6.262012987012986,13.8,0.4666666666666667,8.089359170241522,16,1,3,4,0.69,1,0,13,679,577,0.85,6,8,3,0.9333333333333333,0.8253731343283582,1.7936448351042529,0.10835011559281096,0.12657327052471157,0.13933905713456643,0.09090909090909091,0.09498506584539967,-0.14638829506090395,8.315656565656566,18.0,0.2222222222222222,9.39044289044289,0
5,1,2,1,0.46,0,0,7,485,413,0.85,5,9,1,0.8666666666666667,0.8244837758112095,1.8734517375545654,0.1117872906017734,0.0999297814435593,0.1287017473383376,0.09090909090909091,0.0899423411242715,-0.21505971155118214,8.356818181818182,18.000000000000004,0.22222222222222224,9.38911088911089,16,0,5,1,0.54,1,0,8,603,535,0.89,5,8,4,0.8192771084337349,0.8220640569395018,1.726287558250743,0.1205936486457572,0.12470366471524941,0.17437084451596477,0.09090909090909091,0.08662783406400296,-0.16152425757747174,7.726190476190476,16.6,0.3111111111111111,9.064005439005438,0
16,0,5,1,0.54,1,0,8,603,535,0.89,5,8,4,0.8192771084337349,0.8220640569395018,1.726287558250743,0.1205936486457572,0.12470366471524941,0.17437084451596477,0.09090909090909091,0.08662783406400296,-0.16152425757747174,7.726190476190476,16.6,0.3111111111111111,9.064005439005438,5,1,2,1,0.46,0,0,7,485,413,0.85,5,9,1,0.8666666666666667,0.8244837758112095,1.8734517375545654,0.1117872906017734,0.0999297814435593,0.1287017473383376,0.09090909090909091,0.0899423411242715,-0.21505971155118214,8.356818181818182,18.000000000000004,0.22222222222222224,9.38911088911089,0
12,1,3,1,0.53,1,0,11,540,484,0.9,5,8,8,0.9052631578947369,0.8699186991869918,1.874968516991912,0.10333251908314331,0.10789961645646362,0.1256708547368374,0.09090909090909091,0.0906589956644416,-0.15505767800845452,8.656385281385282,19.000000000000004,0.16666666666666669,9.803030303030303,9,0,5,1,0.47,3,0,9,482,410,0.85,6,8,4,0.8539325842696629,0.82,1.8810733207708739,0.09789815295900581,0.1009435929626424,0.12802419614580746,0.0909090909090909,0.08900471485195986,-0.13703740113563181,8.21082251082251,17.8,0.23333333333333334,9.334165834165834,1
9,0,5,1,0.47,3,0,9,482,410,0.85,6,8,4,0.8539325842696629,0.82,1.8810733207708739,0.09789815295900581,0.1009435929626424,0.12802419614580746,0.0909090909090909,0.08900471485195986,-0.13703740113563181,8.21082251082251,17.8,0.23333333333333334,9.334165834165834,12,1,3,1,0.53,1,0,11,540,484,0.9,5,8,8,0.9052631578947369,0.8699186991869918,1.874968516991912,0.10333251908314331,0.10789961645646362,0.1256708547368374,0.09090909090909091,0.0906589956644416,-0.15505767800845452,8.656385281385282,19.000000000000004,0.16666666666666669,9.803030303030303,0
12,1,6,0,0.64,3,0,7,709,635,0.9,8,9,1,0.8235294117647058,0.7989864864864865,1.857808875665291,0.12542066178569733,0.12792539577261547,0.14579139127400273,0.09090909090909091,0.07832468601102607,-0.21133862070120618,7.945743145743146,17.000000000000004,0.2777777777777778,9.114219114219116,5,0,2,1,0.36,3,0,9,372,305,0.82,5,7,8,0.8192771084337349,0.7439024390243902,1.7972267585121746,0.10422643590340913,0.09938061554798774,0.1289869826463716,0.09090909090909091,0.0892405516043749,-0.11771466975429001,7.575577200577201,16.6,0.3,8.923742923742925,1
5,0,2,1,0.36,3,0,9,372,305,0.82,5,7,8,0.8192771084337349,0.7439024390243902,1.7972267585121746,0.10422643590340913,0.09938061554798774,0.1289869826463716,0.09090909090909091,0.0892405516043749,-0.11771466975429001,7.575577200577201,16.6,0.3,8.923742923742925,12,1,6,0,0.64,3,0,7,709,635,0.9,8,9,1,0.8235294117647058,0.7989864864864865,1.857808875665291,0.12542066178569733,0.12792539577261547,0.14579139127400273,0.09090909090909091,0.07832468601102607,-0.21133862070120618,7.945743145743146,17.000000000000004,0.2777777777777778,9.114219114219116,0
