attemps,ishometeam,Corners,Offsides,Ball_Posession,Yellow_cards,Red_cards,Fouls_suffered,passes_attemted,passes_completed,pass_completion_rate,diameter,largest_cliques,countmax_cliques,reciprocity,global_clustering,diversity,hubs,authorities,pagerank_max,pagerank_mean,pagerank_median,assortativity,AverageNeighborhood,degree_centralization,betweenness_centralization,closeness_centralization,label
12,1,3,2,0.38,1,0,10,318,257,0.81,6,8,1,0.7522935779816514,0.6139705882352942,1.8224566865052352,0.09674091370851857,0.09340263948034488,0.11453953258367547,0.06666666666666667,0.05874802409528696,-0.21326028840029096,8.12388888888889,15.571428571428571,0.6043956043956044,10.05549395191339,0
17,0,5,1,0.62,1,0,10,742,676,0.91,8,9,2,0.8609271523178808,0.7320169252468265,2.021564036796966,0.07977831834331461,0.0910813364629563,0.143534655403069,0.0625,0.058917375182391096,-0.21626621154069897,10.473050907425907,20.133333333333336,0.4285714285714285,11.935819189335813,1
24,1,9,3,0.57,2,0,4,655,590,0.9,6,10,1,0.8275862068965517,0.6940740740740741,1.9711529359097626,0.09088180760583003,0.10023252534781105,0.10438516558336594,0.0625,0.05415405962124176,-0.19410001740119937,9.985896915584414,19.333333333333332,0.4571428571428571,11.611593770716802,1
8,0,1,4,0.43,1,0,15,338,279,0.83,5,7,1,0.6792452830188679,0.5384615384615384,1.6053495450894943,0.07789520343186705,0.07998082790295913,0.11869225682878032,0.06249999999999999,0.05886684237711143,-0.21493059652956,8.131635551948051,14.133333333333333,0.6619047619047621,10.300163764578267,0
11,1,1,5,0.41,2,0,16,303,240,0.79,8,8,4,0.68,0.6194690265486725,1.8432917226717391,0.08181335222908578,0.09252156642246301,0.10830992698915062,0.06249999999999999,0.07149173907470363,0.14094758122379814,6.8698660714285715,13.333333333333334,0.9190476190476189,9.070764337452868,0
15,0,7,1,0.59,3,0,11,583,518,0.89,6,8,6,0.8275862068965517,0.7641509433962265,1.974085647480791,0.09732785536788875,0.08932526413597741,0.12473482768555133,0.07142857142857144,0.07656791571382973,-0.17338573361857768,9.098881673881674,17.846153846153847,0.4358974358974358,10.48868152177312,1
14,1,7,1,0.5,5,1,10,388,321,0.83,5,8,2,0.7758620689655172,0.6460674157303371,1.8357516105756693,0.08874096790647369,0.09481814107009454,0.13872598113529042,0.0625,0.048745854727570245,-0.23102514071507918,8.470655559718061,15.466666666666665,0.5666666666666668,10.000274264704201,0
13,0,4,2,0.5,1,0,13,451,369,0.82,5,9,1,0.7804878048780488,0.652542372881356,1.7643322000587909,0.08982830727464283,0.08819980548641479,0.11635317936612968,0.06249999999999999,0.05600919841535533,-0.07630374451402766,8.35890376984127,16.4,0.5666666666666667,10.904091668565354,0
19,1,8,1,0.53,2,0,3,488,409,0.84,6,9,1,0.7567567567567568,0.6767337807606264,1.7577534949380489,0.0895172441798516,0.09512664061074873,0.1253876441896394,0.062499999999999986,0.07395404514225817,-0.24698494312955263,9.135442162004662,14.799999999999997,0.6,9.866447690596296,1
2,0,1,1,0.47,1,1,14,411,331,0.81,6,7,7,0.8,0.65375,1.7966730866064289,0.09489929284689361,0.09499091962754172,0.11994616005411321,0.0625,0.05765690321576504,-0.1071650715934244,8.285540674603176,14.666666666666668,0.6142857142857144,9.780646025726117,0
